brunch,dart,detail,entertain,favourite,garden,history,late,music,pool,pub_identity,quiz,review_deletion,review_identity,roast,sport
False,False,,False,False,False,False,False,False,False,034c5579-5369-44a3-8fc9-ffbeb832a84b,False,False,bb9eab9d-3941-4ac0-abde-5c4c0c15a4a6,False,False
False,False,,False,False,False,False,False,False,False,52c555f4-007f-4dd1-9d75-a0dfc38425ad,False,False,1516f425-7fa0-4e38-bb51-2ced9cb160d5,False,False
False,False,Rooftop bar with romantic restaurant,False,False,True,False,False,False,False,dc3dc762-de64-421e-bc0b-e861e3766ae2,False,False,a8bce1be-ffb0-4b84-973a-a8c41853e595,False,False
False,False,Jazz and blues every night,False,False,False,False,True,True,False,c7223326-661e-49ed-a0b2-da5bd4758508,False,False,c7223326-661e-49ed-a0b2-da5bd4758508,False,False
False,False,,False,False,False,False,False,False,False,cf2f4001-5aa9-4923-80c1-46b7e9eb1736,False,False,cf2f4001-5aa9-4923-80c1-46b7e9eb1736,False,False
False,False,,False,False,False,False,False,False,False,610d6a7a-b922-4a4a-9302-6cdd869ce4f5,False,False,610d6a7a-b922-4a4a-9302-6cdd869ce4f5,False,False
False,False,,False,False,False,False,False,False,False,9ad4bece-d79b-44b3-9c2d-d57747e6c960,False,False,9ad4bece-d79b-44b3-9c2d-d57747e6c960,False,False
False,False,Unique setting,False,False,True,False,True,False,False,d5cd1760-b22e-49e8-832e-6eb5cab180f3,False,False,d5cd1760-b22e-49e8-832e-6eb5cab180f3,True,True
False,False,Classic pub,False,False,True,False,True,False,False,ad2bbf86-9982-4180-a815-6e0b075eba1c,False,False,ad2bbf86-9982-4180-a815-6e0b075eba1c,True,True
False,False,,False,False,False,False,False,False,False,e7e819fb-a913-467e-94d3-1ca2f6473a6e,False,False,e7e819fb-a913-467e-94d3-1ca2f6473a6e,False,False
False,False,Restaurant,False,False,False,False,False,True,False,32a17618-9e23-450c-b921-a6bab0dfdd6f,False,False,32a17618-9e23-450c-b921-a6bab0dfdd6f,False,False
False,False,,False,False,False,False,False,False,False,bbf5d575-eb9c-4b6c-b6ba-b0d325f452cc,False,False,bbf5d575-eb9c-4b6c-b6ba-b0d325f452cc,False,False
True,False,,False,False,True,False,False,False,False,0c00dbd3-a6fd-4c6b-8006-2d98c0d8b175,False,False,0c00dbd3-a6fd-4c6b-8006-2d98c0d8b175,False,False
False,False,Tues: 7pm quiz. Fri: free beer. Sun: dog day. Various events,True,False,True,False,False,False,False,3c0e13d2-57f5-4e20-85da-8c49873b9224,True,False,3c0e13d2-57f5-4e20-85da-8c49873b9224,False,True
False,False,,False,False,False,False,False,False,False,e7c2cc87-e065-41e0-b34e-5607b0d6cb68,False,False,e7c2cc87-e065-41e0-b34e-5607b0d6cb68,False,False
False,False,,False,False,True,False,False,False,False,54ed8eb6-770a-4ed4-b269-a7c770447aed,False,False,54ed8eb6-770a-4ed4-b269-a7c770447aed,False,False
False,False,,False,False,False,False,False,False,False,d156ac75-0402-4b7f-8140-1272cc620366,False,False,b5ac8d4d-7c3f-4698-9948-6885ac08892a,False,False
False,False,,False,False,False,False,False,False,False,2615935b-9f1d-4181-bfd7-cc492b5e16f1,False,False,c44e9e14-ff8b-4a5c-b633-d4e040aa8362,False,False
False,False,,False,False,False,False,False,False,False,496c556c-124e-45ed-a9a6-5630502257b2,False,False,21bf8d65-522f-4309-a018-ac4321ea303a,False,False
False,False,,False,False,False,False,False,False,False,1be322d1-88b8-45b8-9605-9ab95c5aecc5,False,False,f3aea85b-1bd9-46d1-80a5-40afd9015996,False,False
False,False,,False,False,False,False,False,False,False,fd3429c1-e6df-4d09-a9f1-3fa297a0e8ca,False,False,feb58162-e0fc-42f6-8152-2b76934cafee,False,False
False,False,,False,False,False,False,False,False,False,e4f53ff0-5c81-4497-ac4e-15fcba0f1fa5,False,False,259949ed-f608-42d5-908f-b2f4b1d5e723,False,False
False,False,Unique decor,False,False,False,True,False,False,False,866ef4d9-669f-4bab-ade2-1af9da1a0065,False,False,c67d245e-015e-4579-921f-6f5d5bc48b2b,False,False
False,False,Classic pub,False,False,False,False,False,False,False,cf5c45aa-aaf6-4ac0-ba85-8cdb27e4d276,False,False,7dd90ff2-4e5e-4eeb-8682-11ce9d7c78e9,False,True
False,False,0,False,False,False,True,False,True,False,1b258b22-a853-4d64-947e-5ef4ade978be,True,False,e651b353-c985-4b65-beb8-813403c1d03e,False,False
False,False,,False,False,False,False,False,False,False,5cf4aec7-51e4-4bc0-acc2-b8042ab0363e,False,False,27d14c5f-18ea-4404-8e0e-56341b67664f,False,False
False,False,"Mon: 8pm quiz, Fri/Sat: 11pm live music",False,False,True,False,True,True,False,02d0238e-4c9e-4b8b-a3d7-75932572cd2b,True,False,8c36b097-b59e-4516-8ba1-2a225c2855b6,True,False
False,False,Tue 8pm quiz,False,False,True,False,False,False,False,540826ee-31c9-4644-bbbd-b3ef0d47b08b,True,False,65e3d3c0-e584-4fa5-a28b-11625ad24b82,True,True
False,True,Quirky decor,False,False,False,True,False,False,False,4b35c570-5afd-4f2d-a3f4-5d994a7e76e4,False,False,4d31f1af-b3e4-4cc2-ba6b-155f468e50fd,False,True
False,False,Pour own pints,True,False,False,False,True,False,False,f39db520-b94f-49a5-8c56-e1afad69483d,False,False,e5a00109-76be-4541-a158-0bb9668210f5,False,True
False,False,Mon 7.30pm quiz,False,False,True,False,True,False,False,350d77be-b4c5-4984-ab2f-6d2de41415e0,True,False,b8ecd900-58b2-4990-917e-001ee286476a,True,True
False,False,"Comedy, live music and dance classes",True,False,True,False,True,True,False,3c88a054-9473-4368-b392-af38c73e9797,True,False,8fb07e3f-8030-4909-93df-6b36d75468e0,True,True
False,False,Wed/Sun 7.30/8pm quiz. Fri/Sat live music,False,False,False,False,False,True,False,55f393ed-9aa5-4bb1-96b1-1b940022e694,True,False,eb3a20ee-e620-47a0-896a-ee0f64c2c9b6,True,True
False,False,Petanque court with outdoor seating,True,False,False,False,False,False,False,4b0f5199-a980-4d1b-b0df-15fd21df824c,False,False,08ae6c25-4957-41cd-b77e-31cacd2dd329,True,False
False,False,Daily live jazz,False,False,False,False,True,True,False,cb8b3078-6cff-48dc-a629-5b562730874c,False,False,a67e2acb-c4b2-4f91-a945-776035d8f5cb,False,False
False,False,"Floating boat bar with live music. Tue, Sat/Sun comedy",True,False,True,False,True,True,False,0d0566ca-beb3-41be-8a22-5415fcf79d43,False,False,d03ec1db-b6db-4289-9b0c-da84d983e55b,True,False
False,False,Pub with Thai food,False,False,True,False,False,False,False,3caa5c02-ee38-4a1d-9c2b-39bfcae80981,True,False,83368ca3-2eda-4b0f-9e99-6aac7cd643a1,False,False
False,False,Classic pub,False,False,True,False,False,False,False,d8b030ff-fb74-4f72-9cf4-8a3ec8434007,False,False,0a8bff29-a3ae-403b-aae1-059f68d21c37,True,False
True,False,Duckpin alley,True,False,False,False,True,False,False,2dc38644-2fce-446f-a813-a2ba3e18eedf,False,False,3575ffb7-c6ba-49a0-b872-805696e1a71a,False,False
False,False,Sun 7.30pm quiz. Various events,True,False,False,False,True,True,False,2dbf12b8-120a-46fd-ab1a-d1bb0a6ea778,True,False,94fe84d1-af07-476f-9299-96f08d62128c,False,False
False,False,Riverside,False,False,False,False,False,False,False,528783f6-5ba8-4207-9de5-ba7bcfa50cae,False,False,16b6b4f8-dbbb-4ef5-ab66-8916cce06565,False,False
False,False,Mon 7.30pm music,False,False,False,False,True,True,False,86de190a-4e39-4e2c-add6-2ffa05d0f991,False,False,269958f3-f0ce-4d2f-814a-11fdbe1a0c2f,False,False
True,False,Impressive setting for a bar,False,False,False,False,False,False,False,46179aca-6f27-4242-9f71-f1c2b420f94c,False,False,1bca9fa0-a91e-4105-b719-ec3490f949bd,False,False
False,False,Weekday only with outdoor seating,False,False,False,False,False,False,False,57fbcd08-b7c0-4279-b268-7600aa09cc98,False,False,6de42a2a-2391-44e3-be21-5cbe66100b41,False,True
True,False,City bar,False,False,False,False,True,False,False,9430e071-be89-43fc-8198-1078c99be6a0,False,False,84453038-693b-427b-b753-3b3e4c53d932,False,False
False,False,"Tue: beer pong, Sat/Sun/Mon: Closed, Outside seating",True,False,False,False,True,False,False,96ffc2fb-55cd-4c1b-a52c-707767216645,False,False,452b3c96-32f9-4706-a524-96a9e6dc75ba,False,False
False,False,Cricket themed sports bar,False,False,False,False,False,False,False,16f76f29-ae95-49a7-8591-27ab87dd1bf4,False,False,c7b4e608-cfc0-47b9-b6d0-cd1a50623648,False,True
False,False,Taproom with live music but closed Mon,False,False,True,False,False,True,False,859eb4d9-ba6e-43d6-b14b-275cf2a0b5ad,False,False,724b662a-5f5a-4c6e-aa48-0eb64fefea2c,False,False
False,False,Pub with views across common,False,False,True,False,False,False,False,955ae281-5169-495d-ac79-8900c326b1a0,False,False,aeb2c371-3698-465c-abb9-4b566525495a,True,False
False,False,Weatherspoons,False,False,False,False,True,False,False,21ba3669-2407-4fa3-928f-3ab6943c4917,False,False,df84ec4a-961d-49ce-91a1-f8e4529ca608,False,False
False,False,Table tennis. Comedy.,True,False,True,False,False,False,False,3fae6292-bea4-4022-95ae-3dd2b2554e23,True,False,8fe0eb15-4a2b-485c-98f7-35dcce85a146,True,True
False,False,Traditional pub,False,False,True,False,False,False,False,662486bd-2954-486f-8cb3-d23dce0357ab,False,False,60e54654-b598-40d3-8090-81186c9213e6,False,False
False,False,Rooftop bar with accommodation,False,False,True,False,True,False,False,06f154c0-d04f-45a7-9c9b-2832b779a411,False,False,12b00d6d-fd39-4acd-a39b-15b60f7f4a2e,True,False
False,False,Mon 8pm quiz. Wed-Sat live music,False,False,False,False,True,True,False,6b75d781-b8c3-490d-b586-116dd69cad7c,True,False,27d74cc0-f093-4ec6-ab0b-ea8154496718,False,False
False,False,Mon 7pm quiz. Regular live music and comedy,True,False,True,False,False,True,False,ed530a98-058f-4b2d-afb1-2adc4916e305,True,False,448560c3-aad3-4da3-879d-28bbdbd60398,True,True
False,False,Regular live music,False,False,False,False,True,True,False,80aeb850-5686-44ac-8e1b-424ef9cea747,False,False,9bf50acf-234e-4d47-a3a1-c52ccc25b2a6,False,True
False,False,Fri live music. Sat DJs. Occasional comedy. Sun closed,True,False,False,False,False,True,False,a81d00e5-7e30-4a8d-a012-acadc43c01b0,False,False,900d1056-2fd4-4b48-8c3e-e9432e0c159c,False,False
False,False,Mon/Tue closed,False,False,True,False,False,False,False,b38678b1-85a6-418e-8741-4957ee3f7f5c,False,False,ffed3e5b-7f2e-428f-8633-951cfee6acc0,False,False
False,False,Weatherspoons,False,False,True,False,True,False,False,45852adf-75c3-4eb0-b99e-e9df1e047206,False,False,aa337300-515d-42cc-bede-9110fdacf2e3,False,False
False,False,Taproom open Thur-Sun only,False,False,False,False,False,False,False,3ce5eac8-17c9-4a33-aba1-c10f695660ef,False,False,33ffbda2-5092-4c4a-8af5-85e4980390e5,False,False
False,False,Mon 7.45pm quiz. Outdoor seating,False,False,True,False,False,True,False,62d2a587-2e8c-41e0-8e7d-90737363d45e,True,False,7bc34c4b-64a4-4753-92db-bdad04ff7297,True,True
False,False,Wed 7.30pm quiz,False,False,True,False,False,False,False,2cd9035f-af04-41dd-b63c-f47b75c90a8f,True,False,1cb5911f-0c62-4ef6-bdf4-3d77671b8044,True,False
False,False,Riverside pub with occasional quizzes and fairs,False,False,True,False,False,False,False,3ebbdbe5-032f-4cc3-ad27-424c04fbf30e,True,False,25782f5d-d153-47f0-abab-629d736b5635,True,False
