station_identity,station_deletion,station_name,station_latitude,station_longitude,zone,postcode,direction
e6a0f682-8192-4813-868e-f3185a7f3fa0,False,Beckton,51.51437673300682,0.0615252971597842,3,E6 5NT,East
ac69eb94-0363-4c27-9f20-6183a0b66c3f,False,Beckton Park,51.50890088618667,0.0548219390453978,3,E6 5NE,East
1d6f0f4b-981d-46d6-bb26-1e6cbc9473c0,False,Becontree,51.53958561974398,0.1268802926935937,5,RM9 4TP,North East
c45e19ee-e0bd-4ac8-8900-71d5e5473866,False,Beddington Lane,51.389239651469765,-0.1421384331905475,"3,4,5,6",CR0 4TF,South East
fdf0b631-7b07-466e-bc46-a79862e8b3d2,False,Belgrave Walk,51.40096135634269,-0.1784964722050899,"3,4,5,6",CR4 4NY,South East
d634a565-f3f7-46ac-ab8d-baa9bd7dc726,False,Bellingham,51.43386486264608,-0.0204117702937991,3,SE6 3BT,South
a776ad43-e718-43f0-b706-8b42522f4a26,False,Belmont,51.34411959994204,-0.1994892508729616,5,SM2 6BH,South
16dc8b1d-6923-4eec-8801-b8e5f888514f,False,Belsize Park,51.55019061178192,-0.1639744910255186,2,NW3 2AL,North
210229ad-f258-4fc9-ad5d-9cc4c2ff3534,False,Belvedere,51.49195925487853,0.1520337932923139,5,DA17 6JW,South East
2a815311-c162-4c4a-94bf-e5a3e1638564,False,Bermondsey,51.49796067750633,-0.0643300898115236,2,SE16 4RX,South
03300a9f-e7e3-4727-92d5-b1263d26ed19,False,Berrylands,51.39876794902152,-0.2803214728845223,5,KT5 8LT,South West
ff9f143a-4b17-424b-a8fc-1730006f68ef,False,Bethnal Green,51.52719165312213,-0.055392111450162,2,E2 0ET,East
75d3e34e-3654-4a83-b2a6-bb658144d808,False,Bethnal Green Rail,51.524282643710485,-0.0600137423991465,2,E2 6JL,East
2dbcc263-17f9-48aa-a01f-51465127a4ec,False,Bexley,51.44081477613684,0.1482039142729925,6,DA5 1AQ,South East
b454afbf-a295-4899-8a16-5b741c33d241,False,Bexleyheath,51.46355017881958,0.1333629660724762,5,DA7 4AA,South East
d80c250f-0442-441f-988e-e5aa6268b299,False,Bickley,51.40037964448855,0.0443040316998264,5,BR1 2EB,South East
b5e206d6-6789-42a8-816f-e8fd95a0c8d8,False,Birkbeck,51.40386300465971,-0.0562862355401811,4,BR3 4TA,South East
afa09622-cf9e-46f3-8137-da52aa748819,False,Blackfriars,51.51158676169501,-0.1029953846245054,1,EC4V 4DD,Central
1c67f9fb-4ab9-412e-94ec-79eb1c43d189,False,Blackheath,51.46540802722941,0.0083365947125195,3,SE3 9LE,South
6c944689-fb52-4d48-9aa7-4edc84b35300,False,Blackhorse Lane,51.38474607036756,-0.0705339476144646,"3,4,5,6",CR0 6NL,South East
b2452466-5e6c-481f-abf5-bd2527db9c42,False,Blackhorse Road,51.58577656484627,-0.0396257114650528,3,E17 6JJ,East
7aca5d33-e34b-4616-9047-f23a97feb291,False,Blackwall,51.50783153133504,-0.0072351658776662,2,E14 9QB,East
b4cab5b5-ba6c-4e95-8268-2a3333c8d890,False,Bond Street,51.513797282327445,-0.1496136085316461,1,W1C 2HU,West
