address,area_identity,category,place,pub_deletion,pub_identity,pub_latitude,pub_longitude,pub_name,rank,station_identity
"32 London Bridge St, London SE1 9SG, UK",75808b33-a6d6-4e79-bc63-cce0831d36a9,bar,ChIJ03GSCloDdkgRe_s-p2vyvQA,False,10f611a2-512f-4b07-aa57-8de878ccbb3b,51.5042997,-0.0863703,The Shard,4.0,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d
"29 Watling St, Greater, London EC4M 9BR, UK",71f589fb-f617-48b9-b779-dc1e8d73b1fe,bar,ChIJy2QpfVUDdkgR_ZjHMTwf28A,False,fd1f6053-8868-419a-a445-fd24a21e8b99,51.51292242976256,-0.0935447216033935,Ye Olde Watling,4.0,17d9ab39-318d-4187-bdcb-a6aa315d1997
"39 Bow St, London WC2E 7AU, UK",5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a,bar,ChIJtVNpD8sEdkgRW_kxR_77yN4,False,efcf3870-da4d-4a44-9c1b-3d5be38edeaa,51.5128833,-0.1212482,Marquess of Anglesey,4.0,6755ece0-c460-4849-9ba9-ece9e516d8f1
"213 Strand, Temple, London WC2R 1AP, UK",87fbc59f-9c44-4e78-b4b5-000ef3b4d559,bar,ChIJnx8u7bQEdkgRGm5XKuA0SBQ,False,eabe0a83-2841-4c72-b86a-4fb5504e2161,51.5131978,-0.1130845,The George,4.0,a9dd3bb6-f448-4315-b4b9-be59803228f3
"91-92 Strand, Greater, London WC2R 0DW, UK",5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a,bar,ChIJPyb_JskEdkgRDw4ffzUc8cQ,False,75d7f798-4740-483c-9140-88318b66078e,51.510391790277765,-0.1212948560714721,The Coal Hole,4.0,457a9061-abd6-4bb1-8017-0c1eaeb4efdd
"18 Wellington St, London WC2E 7DD, UK",5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a,bar,ChIJKZfgUMoEdkgRjRIYygsCkSY,False,e8cbe945-648f-4a82-8e4b-8a6eb043af7f,51.51193923626556,-0.1198330521583557,Christophers,4.0,6755ece0-c460-4849-9ba9-ece9e516d8f1
"Zero Aldwych, Wellington St, London WC2E 7DN, UK",5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a,bar,ChIJa1uHRMoEdkgRq4LNAJbXbhg,False,5c5aa314-0ef0-4a92-9aa2-45e89bcd7f0c,51.5116153953917,-0.1193569600582122,CellarDoor,4.0,a9dd3bb6-f448-4315-b4b9-be59803228f3
"Southbank Centre, Belvedere Rd, London SE1 8XX, UK",31e94930-b83f-4fed-914f-23c75fb14cae,bar,ChIJ8W1157cEdkgRaKMYsrcpgH0,False,0ca14449-0d5b-4e03-9247-99fed9cebbc3,51.5060805,-0.1163042,Royal Festival Hall,4.0,ebf71968-a0a8-48a5-b003-63b1b53f9375
"14 Widegate St, London E1 7HW, UK",42591133-6127-4928-a6fc-d0f99e2c3d9a,bar,ChIJ5RaXpLMcdkgR9zQEorKYcI4,False,6bb18e6f-42e5-4f54-b98a-75302168364c,51.5179984,-0.0778238,Kings Stores,4.0,21d98f91-f4f6-4a17-9c96-2f81a74a8a5c
"10 James St, London WC2E 8BT, UK",5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a,bar,ChIJ2QufhMwEdkgRXCUo74j_0Zo,False,49bf46f8-088d-44aa-afee-c96875a311a7,51.5129465,-0.1236617,The Nags Head,3.0,6755ece0-c460-4849-9ba9-ece9e516d8f1
