pub_identity,detail,monday,tuesday,wednesday,thursday,friday,saturday,sunday,brunch,dart,entertain,favourite,garden,history,late,music,pool,quiz,roast,sport
105f372b-0c99-4eaf-8490-6355c87414b7,Traditional pub with outdoor seating o,,,,,,,,,,,,,,,,,,,
10a50535-ea54-48e5-840b-0f467d4b339a,Traditional pub,,,,,,,,,,,,,,,,,,,
10c365ee-4888-4527-9734-cb36708b07db,Gatropub,,,,,,,,,,,,,,,,,,,
10dc64f5-8af5-40bf-a626-55a2c00a913d,Occasional pub quiz,,,,,,,,,,,,,,,,,,,
10f611a2-512f-4b07-aa57-8de878ccbb3b,Scenic bar views,,,,,,,,,,,,,,,,,,,
111a75e9-2d09-486a-a54e-5992dbc2eca0,Outdoor seating. Mon/Tue closed.,,,,,,,,,,,,,,,,,,,
1133ab17-2ca6-456a-844f-e1eb40a8bb3d,Outdoor seating,,,,,,,,,,,,,,,,,,,
1150b070-051c-4757-9539-0b085a4551dc,Weatherspoons at O2,,,,,,,,,,,,,,,,,,,
1190fe04-7140-4fc0-82a1-8aa5e60e2cf0,TBC,,,,,,,,,,,,,,,,,,,
11e6a9b3-c9bb-4074-99b3-ac719ffcd1ff,"Rooftop bar. Attached cinema, live music and DJs. Closed Mon",,,,,,,,,,,,,,,,,,,
1271097e-084d-4fe9-a4fa-753df9ad1268,Occasional quiz night,,,,,,,,,,,,,,,,,,,
128ebbec-59a4-431c-9473-fc011f0210ca,Regular comedy and theatre,,,,,,,,,,,,,,,,,,,
12a39cf2-449c-4e3e-b7ca-40622cf386aa,"Tuesday 7.30pm quiz, Outdoor seating",,,,,,,,,,,,,,,,,,,
12b05c98-b08f-4df2-850e-76180a358f48,Thur steak night,,,,,,,,,,,,,,,,,,,
1305f2b9-18f3-4e05-964c-000407d6dc88,Rooftop bar,,,,,,,,,,,,,,,,,,,
13177ee7-67ff-42b4-8bd1-4c1f7a91598f,"Mon:comedy, Wed:8pm quiz",,,,,,,,,,,,,,,,,,,
132ae07c-5a77-4646-b439-efb23e4ae3cf,Riverside bar,,,,,,,,,,,,,,,,,,,
1342830d-e087-49e6-8266-71ea278355b2,Regular DJs,,,,,,,,,,,,,,,,,,,
139bde09-27ac-4b94-a94e-9a030fffa1a8,Weatherspoons,,,,,,,,,,,,,,,,,,,
13fb6723-9762-460f-95e1-0da7c5a12f52,Traditional pub,,,,,,,,,,,,,,,,,,,
1403808e-3733-4107-bb1b-9ec444a34484,Flowery exterior with outdoor seating,,,,,,,,,,,,,,,,,,,
143ea7fa-72e7-47a9-b034-8f95a5465e62,Sun quiz. Outdoor seating,,,,,,,,,,,,,,,,,,,
144c41db-e6f0-4b3f-b6d1-5b6b5b2e5fcb,Thur 7.30pm quiz,,,,,,,,,,,,,,,,,,,
1496934f-16e7-4848-b686-504957119989,Thur-Sat music,,,,,,,,,,,,,,,,,,,
14ca1c76-ccbf-48b7-aa3f-d0276cb0e0dd,Japanese gyoza,,,,,,,,,,,,,,,,,,,
1524dcfa-ec35-4518-8373-45b6a1d702c8,Daily live music,,,,,,,,,,,,,,,,,,,
152d53a2-07ed-4b5b-8cc4-ef9ab45c57e3,Traditional pub,,,,,,,,,,,,,,,,,,,
15ea92fa-f9d6-43b6-b2aa-3d58139d18fe,Closed Sun,,,,,,,,,,,,,,,,,,,
1605a183-1c79-44a6-905a-aab6d109bfbf,Comedy and live music events. Mon-Tue closed,,,,,,,,,,,,,,,,,,,
162dd12d-330c-429f-a3e1-12661ebfb5c7,Wed 8.30pm quiz,,,,,,,,,,,,,,,,,,,
169e21f6-c32f-4ad6-862c-db0712ee1fb0,Weatherspoons,,,,,,,,,,,,,,,,,,,
16f76f29-ae95-49a7-8591-27ab87dd1bf4,Cricket themed sports bar,,,,,,,,,,,,,,,,,,,
17168dd2-1b21-4175-a60f-ae9324c45d2c, ,,,,,,,,,,,,,,,,,,,
179ffa7c-b7dc-466d-a498-b181fdb219c9,Traditional pub,,,,,,,,,,,,,,,,,,,
