pub_identity,detail,monday,tuesday,wednesday,thursday,friday,saturday,sunday,brunch,dart,entertain,favourite,garden,history,late,music,pool,quiz,roast,sport
4d2b172a-3f76-4936-af1f-3a9fa3129835,Mon live music and other events,,,,,,,,,,,,,,,,,,,
4d771274-5f0e-4df4-a0dd-728951e700dc,Fri/Sat music or disco karaoke,,,,,,,,,,,,,,,,,,,
4d8254ad-1246-42a6-bfb0-11b7e40e413b,Mon game night and balcony seating,,,,,,,,,,,,,,,,,,,
4db0af7c-e9ca-4475-9d0f-0d7ca82d31e8,Sat/Sun live music,,,,,,,,,,,,,,,,,,,
4e4833e3-c549-4b19-92d5-c11213f6f775,Gastropub,,,,,,,,,,,,,,,,,,,
4e4e3842-c27a-4cbe-ad68-9e502c5dd11d,Karaoke,,,,,,,,,,,,,,,,,,,
4e5ae801-600a-4e23-9afc-77ad69b6258f, ,,,,,,,,,,,,,,,,,,,
4e657bd9-9975-4f07-be10-5f1fe5677501,Fri traditional Irish music,,,,,,,,,,,,,,,,,,,
4efe599e-daf0-4cd5-94b4-740242dba743,Friday entertainment advertised,,,,,,,,,,,,,,,,,,,
4f74f192-299e-4ef7-a3ca-28afb731cba9,Daily shows,,,,,,,,,,,,,,,,,,,
50f4ee06-deac-4049-bbd4-0cd727d4c319,Classic pub with board games,,,,,,,,,,,,,,,,,,,
51549a28-0c34-47ae-8b08-a13cc6820b79,Traditional pub,,,,,,,,,,,,,,,,,,,
515b0be2-21fb-49f6-b1bf-1d37ba802d30,TBC,,,,,,,,,,,,,,,,,,,
51735582-57d4-4609-9d86-1cda1d9e0e9a,Tue: music. Fri:drag bingo. Sat-Mon closed,,,,,,,,,,,,,,,,,,,
5195d970-0ad2-4437-84a1-6cf4c3724f8e, ,,,,,,,,,,,,,,,,,,,
51e49abc-e21e-4865-8a49-304f8babc3de,Traditional pub,,,,,,,,,,,,,,,,,,,
525a8c71-6eb6-422a-870c-2f66d5d65808,Sun 7.30pm quiz,,,,,,,,,,,,,,,,,,,
526bc553-5443-4d0c-a0b5-99ac6117857b, ,,,,,,,,,,,,,,,,,,,
528783f6-5ba8-4207-9de5-ba7bcfa50cae,Riverside,,,,,,,,,,,,,,,,,,,
52af26bd-dc00-4812-8766-f2e791d62a50,Hotel,,,,,,,,,,,,,,,,,,,
53314102-b77d-423c-bd03-6deb04941105,Traditional pub,,,,,,,,,,,,,,,,,,,
537c84a3-b54b-488e-9f55-652409df94b0,Regular quiz nights and live music. Outdoor seating,,,,,,,,,,,,,,,,,,,
540826ee-31c9-4644-bbbd-b3ef0d47b08b,,,8pm quiz,,,,,,,,,,,,,,,8pm tuesday,,
542030c6-7749-45ca-8705-44a741296f1e,Traditional pub,,,,,,,,,,,,,,,,,,,
54de95e5-16b1-48a3-b00b-7f53c85a0745,Sun 7pm quiz,,,,,,,,,,,,,,,,,,,
55160e29-789d-4ec1-ae2c-07ae7dd30194,Late night bar,,,,,,,,,,,,,,,,,,,
554bc650-de83-4db6-ad33-e74e8950d1e4,Rooftop bar. Mon board games,,,,,,,,,,,,,,,,,,,
556a9b24-a44a-4136-8f14-2b963e276d15,TBC,,,,,,,,,,,,,,,,,,,
5587d72c-15c0-4308-8f8b-9afe523627fb,Riverside pub. Tue 7pm quiz,,,,,,,,,,,,,,,,,,,
55bdb9b5-9d23-491b-98dd-8525839f225d,Weatherspoons,,,,,,,,,,,,,,,,,,,
55cfb269-6585-4ae1-bd89-8ef6cae6ea79,Tue 8pm quiz. Thur comedy. Sun live music.,,,,,,,,,,,,,,,,,,,
55f393ed-9aa5-4bb1-96b1-1b940022e694,,,,7.30pm quiz,,live music,live music,8pm quiz,,,live music on friday and saturday,,,,,,,7.30pm wednesday & 8pm sunday,,
56175398-3dfa-42ab-89b3-782e4fa9faa5,TBC,,,,,,,,,,,,,,,,,,,
565e8b02-df6d-45f9-8e9c-8a37dcebedd8,Riverside pub,,,,,,,,,,,,,,,,,,,
569209fe-7b87-4d11-8d24-3525d6b8e560,Mon/Tue closed,,,,,,,,,,,,,,,,,,,
56d385be-abf8-4bf1-9afd-8c57441333c7,Lve music next to the park,,,,,,,,,,,,,,,,,,,
5778512f-1a16-4a77-bd7e-ac430fedf578,Tue live music and open mic,,,,,,,,,,,,,,,,,,,
57da201e-7e6e-4fe2-b63c-3f43e3b4a66f,Pub,,,,,,,,,,,,,,,,,,,
57fbcd08-b7c0-4279-b268-7600aa09cc98,Weekday only with outdoor seating,,,,,,,,,,,,,,,,,,,
5848c75a-8328-4eda-8531-e66690b66a30,Outdoor seating,,,,,,,,,,,,,,,,,,,
5872f0ee-2ff1-41b5-bacd-7779d34bbb7c,Traditional pub,,,,,,,,,,,,,,,,,,,
58d0c171-def5-4abf-8ae8-8d6b8dbea0de,Tue 8pm quiz,,,,,,,,,,,,,,,,,,,
591155df-2fa3-45a7-844b-4272d229baa3,TBC,,,,,,,,,,,,,,,,,,,
5940cff1-e2c4-40c8-9653-d01417856d82,Late night cocktail bar,,,,,,,,,,,,,,,,,,,
5950c892-4752-45e5-b553-a61967bac1ab,Riverside bar,,,,,,,,,,,,,,,,,,,
596663de-c258-469b-a183-99d517ea29af,Weatherspoons,,,,,,,,,,,,,,,,,,,
59789e1f-5ea2-4b87-901f-fbf69bd59701,Live music Sundays 4.30pm,,,,,,,,,,,,,,,,,,,
5979a4f9-53f0-4398-b73f-3c6d2ace96e4,Traditional pub,,,,,,,,,,,,,,,,,,,
59b1023e-1eb6-453e-8036-668749bbf31a,Wed 7.30pm quiz at pub with hostel accommodation,,,,,,,,,,,,,,,,,,,
5a3094e9-5f78-4caa-bc21-23cefc0d0afe,Mon/Wed 6pm karaoke. Pub with accomodation,,,,,,,,,,,,,,,,,,,
5a5374a7-d466-45ef-86bc-efe0458af6ea,Sat-Tue live music,,,,,,,,,,,,,,,,,,,
5a95a497-6a8a-4c1c-99bc-92d74e20921f,Traditional pub at the O2,,,,,,,,,,,,,,,,,,,
5b4b2fef-e480-4c23-aed5-4f5f180e50e1,Basic pub,,,,,,,,,,,,,,,,,,,
5b901c7f-6de6-4051-897b-d2366f5d92a6,Theatre pub. Mon 7.30pm quiz,,,,,,,,,,,,,,,,,,,
5bed5842-4c53-4d3e-9d25-470516b5436c,Tue 8pm quiz,,,,,,,,,,,,,,,,,,,
5bfcd9d2-d3b3-4a4e-8854-f47050e0049d,Modern bar,,,,,,,,,,,,,,,,,,,
5c79ee71-6991-4aee-8e50-904de5486a4b,Riverside pub with Mon 8pm quiz,,,,,,,,,,,,,,,,,,,
5c966e30-cbd2-43c7-828d-7b4540dac274,Private members club,,,,,,,,,,,,,,,,,,,
5cffa610-605f-4308-a3af-4026fb1b6898,Outdoor seating,,,,,,,,,,,,,,,,,,,
5d96f568-3e37-48b6-8260-670cb82e6eb2,Classic pub,,,,,,,,,,,,,,,,,,,
5e4874a1-4ac4-426d-92da-51c761d527cb,Various events,,,,,,,,,,,,,,,,,,,
5e4d6137-ef10-4c8b-ae38-aeceaa89dc59,Outdoor seating,,,,,,,,,,,,,,,,,,,
5e6c0404-de66-4167-8f0c-63779e77f5e6,Occasional quiz night,,,,,,,,,,,,,,,,,,,
5e775625-fe5c-49b8-9648-d9f7929eb241,Sun 7pm quiz,,,,,,,,,,,,,,,,,,,
5ecb233a-4a34-4013-ba6b-be9131cf4587, ,,,,,,,,,,,,,,,,,,,
5f107b8f-94d2-4c95-b3e6-3a4bcc5183a9,Mon-Sat: comedy,,,,,,,,,,,,,,,,,,,
5f2a04c4-4825-44b1-a0f6-fdd99fed8df2,Traditional pub,,,,,,,,,,,,,,,,,,,
5f52213e-c6e9-4aac-a691-17c4c582d321,Modern bar,,,,,,,,,,,,,,,,,,,
5f811181-8213-427d-ae8a-8da9bc3beb48,0,,,,,,,,,,,,,,,,,,,
6107c63a-ce8e-45b0-85ce-638924bd5644,Quirky beer garden,,,,,,,,,,,,,,,,,,,
610d6a7a-b922-4a4a-9302-6cdd869ce4f5,Regular live music events,,,,,,,,,,,,,,,,,,,
612c6de0-6dff-47d5-9956-69173db4e230,Outdoor seating,,,,,,,,,,,,,,,,,,,
614ce062-e09d-460a-914c-052afb1ac6c7,Hotel bar,,,,,,,,,,,,,,,,,,,
627185f0-212d-43d6-ad3c-8d0f1a5e6108,Wed 8pm quiz. Fri 9pm music. Games room,,,,,,,,,,,,,,,,,,,
6275c23f-0325-4e4b-a505-c0ac90bdf364,Theatre events,,,,,,,,,,,,,,,,,,,
62d2a587-2e8c-41e0-8e7d-90737363d45e,Mon 7.45pm quiz. Outdoor seating,,,,,,,,,,,,,,,,,,,
62d723d6-d338-406e-a1fa-cca2747ba338,Shisha bar,,,,,,,,,,,,,,,,,,,
6324ea6d-4ca5-40e2-abc7-009cbf4f1a9e, ,,,,,,,,,,,,,,,,,,,
6338abc5-9a97-40c8-9e13-b7de1a2c5852,Wed 8pm quiz,,,,,,,,,,,,,,,,,,,
637a0365-d079-44f4-aa73-b7c38098d64a,Fri live music,,,,,,,,,,,,,,,,,,,
63db9012-b8c4-42e1-8d9b-20a6784a5bcc,Cookery classes,,,,,,,,,,,,,,,,,,,
63ed555a-f7ec-4101-bf30-8d2463abb1dd,Riverside pub,,,,,,,,,,,,,,,,,,,
643295da-0a57-457d-a6b5-84b4248020cd,Bar with pizza. Cocktail masterclass,,,,,,,,,,,,,,,,,,,
64665ab3-1572-4051-826b-20503fcaa085,Terrace with retractable roof,,,,,,,,,,,,,,,,,,,
649863b1-2207-4d30-b4ac-c4b6ed484d62,Classic pub,,,,,,,,,,,,,,,,,,,
64a3a706-c4b2-4a1c-81fe-278ddc1fb014,Riverside bar with frequent live music and events,,,,,,,,,,,,,,,,,,,
662486bd-2954-486f-8cb3-d23dce0357ab,Traditional pub,,,,,,,,,,,,,,,,,,,
665a7faf-e518-4918-bdce-acb10e79dcf0,Interesting decor. Live music and comedy shows. Outdoor seating,,,,,,,,,,,,,,,,,,,
666a1b60-9c50-4f86-b3c6-bcba1d6bf7ff,Posh pub,,,,,,,,,,,,,,,,,,,
66734d9a-3068-45b3-bf5a-b81cc4fc86fd,Live music and DJs,,,,,,,,,,,,,,,,,,,
66c1f5c4-262a-458e-9a81-c5105091da24,False,,,,,,,,,,,,,,,,,,,
66cd6c07-45d5-4a4a-b7fe-a171f5c6f3d1,Amazing decor but closed Mon,,,,,,,,,,,,,,,,,,,
6837ba08-86b6-425e-9056-45c7ae80b59c,Outdoor seating,,,,,,,,,,,,,,,,,,,
6965daa1-882e-4361-8965-276a02cdd614,Pint sized pub with Mon quiz,,,,,,,,,,,,,,,,,,,
699c86a7-cbbe-46e8-812f-57e9ea7822ee,Private members club,,,,,,,,,,,,,,,,,,,
6a3869ac-c7b9-4b0e-8f34-a8ea858a452c,Traditional pub,,,,,,,,,,,,,,,,,,,
6a7cf78e-1877-47ec-87bf-a4e84423c763,Pub with Indian dining,,,,,,,,,,,,,,,,,,,
6ac5780f-598c-48e6-9684-b2504c81312f,Cocktail masterclass,,,,,,,,,,,,,,,,,,,
6b057b63-eb50-45f9-92cf-e8be7e1a1933,Classic pub,,,,,,,,,,,,,,,,,,,
6b75d781-b8c3-490d-b586-116dd69cad7c,Mon 8pm quiz. Wed-Sat live music,,,,,,,,,,,,,,,,,,,
6be8ff21-edc3-4956-a1d7-cc2f1fa14be1,Outdoor seating,,,,,,,,,,,,,,,,,,,
6ce3e404-091d-4e74-82cc-4649ed2c567e,Bar with ball pits,,,,,,,,,,,,,,,,,,,
6d6a1450-94bb-43fe-9ba1-d517bc6f8f3e,Great decor. Closed Sunday,,,,,,,,,,,,,,,,,,,
6d740ea5-b888-4fb3-b25f-6cb36ea57a01,Traditional pub,,,,,,,,,,,,,,,,,,,
6d9c8d4e-fa1d-433d-aea4-ff3f5c36cb64,Women made wine shop,,,,,,,,,,,,,,,,,,,
6ddca2bf-663f-49bd-8a02-b21e9b7d192c,Fri live music. Pub with dining. Closes at 9.30pm,,,,,,,,,,,,,,,,,,,
6f052687-67ef-4ad9-8c6d-fe45670e166f,Fri live music,,,,,,,,,,,,,,,,,,,
6fe92b26-ef10-4919-bcff-4e47c5cf763c,"Odd quiz, poker and live music events.",,,,,,,,,,,,,,,,,,,
7027ed4a-f38c-4d5f-9049-468f2bb12324,Classic pub,,,,,,,,,,,,,,,,,,,
70347840-2dff-4d32-a47f-8fb63742607a,Weatherspoons,,,,,,,,,,,,,,,,,,,
70382534-b8b7-4272-8471-32f7d6300b15,Fri/Sat live music with other events,,,,,,,,,,,,,,,,,,,
70584e25-7556-4d3d-9c74-331460dde1e8,Outdoor seating,,,,,,,,,,,,,,,,,,,
7092252a-1dbb-435b-a339-aff889c58267,Order in pizza,,,,,,,,,,,,,,,,,,,
70f8f3dd-6351-4c10-98a3-e32e2d28c1f6,Occasional live music. Closed Sun-Tue,,,,,,,,,,,,,,,,,,,
7125c473-2206-4d03-a5ea-920308ad3e68,Shisha pipes with various events,,,,,,,,,,,,,,,,,,,
72debb8c-1ea0-453a-a93e-e127a262ea06,Wed 7pm quiz and cocktail/gin masterclasses,,,,,,,,,,,,,,,,,,,
72f45121-bf7c-4972-b941-7ccdaa076356,Fairground games,,,,,,,,,,,,,,,,,,,
735704b6-f5af-4d0c-a9d3-b670fe3c7f1a,Wed 7.30pm quiz,,,,,,,,,,,,,,,,,,,
7370b248-0ad7-4010-979f-a740c898f0c6,No dogs allowed,,,,,,,,,,,,,,,,,,,
7394702a-c9d9-4e58-9a9c-7d2d5f06c083,Occasional karaoke,,,,,,,,,,,,,,,,,,,
7397e397-0fb2-4dc9-a13e-0e009a3c758a,Weatherspoons with riverside outdoor seating,,,,,,,,,,,,,,,,,,,
740a2044-a117-4a58-96a4-6861ab0fc8aa,"No dogs or children. Wed/Thur, Sat/Sun live music",,,,,,,,,,,,,,,,,,,
74545130-94c7-4049-92bd-86ffd7cab6cb,Mon quiz with outdoor seating,,,,,,,,,,,,,,,,,,,
745707c2-e7a4-4b33-9f7a-f6dfc2d6a221,Wed:jazz. Sun:live music,,,,,,,,,,,,,,,,,,,
74b09557-7f64-4357-b20b-70869e7bb253,Occasional entertainment and music,,,,,,,,,,,,,,,,,,,
74bdbecd-70a9-4a81-88e3-dc98da654833,Traditional food with dining,,,,,,,,,,,,,,,,,,,
750ef292-6c3d-4163-a41a-afa50ff3bc3c,Classic pub,,,,,,,,,,,,,,,,,,,
7515fd4f-80d9-4d0f-80d9-6dce3911972b,Traditional pub,,,,,,,,,,,,,,,,,,,
753df00b-babe-4873-a8f2-8f4cd8e02749,Thu-Sat: music,,,,,,,,,,,,,,,,,,,
754227fd-d267-4750-a6f8-59914f8d95fd,Canal side bar and restaurant,,,,,,,,,,,,,,,,,,,
75965700-9d04-4f07-a637-abfdbb49266b,Indoor cricket nets and outdoor seating. Mon closed,,,,,,,,,,,,,,,,,,,
75ff695e-964e-4d8a-bdb5-fbc0a6c5e540,Masterclasses at unique decor with outdoor seating,,,,,,,,,,,,,,,,,,,
76282d16-e2c6-40c8-96d1-92b81da07619,Thursday comedy. Sun jazz,,,,,,,,,,,,,,,,,,,
762dc859-113e-4bf3-8c2c-4b5993c6752a,Pub with fine dining and outdoor seating,,,,,,,,,,,,,,,,,,,
7685a7db-c6df-4182-a3c1-c86e94bb099b,Pub with fine dining with some quiz and other events,,,,,,,,,,,,,,,,,,,
76fc0c90-f865-4cfe-bebe-21fa53717704,Fri/Sat only,,,,,,,,,,,,,,,,,,,
77b9faed-deb3-45be-b880-9d6ca3727a53,Riverside pub with Tue 7.30pm quiz,,,,,,,,,,,,,,,,,,,
77e33190-8e85-464c-8b0a-c0e4412ca130,Late night cocktail bar,,,,,,,,,,,,,,,,,,,
780320eb-cec1-4f3c-a538-c357426b7aa3,Outdoor seating,,,,,,,,,,,,,,,,,,,
781b0d4c-788a-4bcb-8cec-c4384c566b57,Mon 8pm quiz. Sat/Sun live music,,,,,,,,,,,,,,,,,,,
78295944-cac8-4b2c-b9cb-0a439fef22b2,Mon 7pm comedy. Tue quiz. Fri live music,,,,,,,,,,,,,,,,,,,
7845221c-b025-44fd-a07c-894ef7c42cf2,"LGBTQ+ venue, Karaoke, Weekend drag cabaret",,,,,,,,,,,,,,,,,,,
78684f18-9f18-40ec-8737-2c89671fd73a,Closed Sun,,,,,,,,,,,,,,,,,,,
78a786cb-976f-421b-8fc5-101cd371de99,Shuffleboard,,,,,,,,,,,,,,,,,,,
78b09dc3-44c8-4c17-976b-239bc2a6225f,Outdoor seating,,,,,,,,,,,,,,,,,,,
79221a90-d83b-4f07-b756-a493b4801e40,Green outside,,,,,,,,,,,,,,,,,,,
7a07787b-e8a8-45ac-9b8b-700328ccd167,Traditional pub,,,,,,,,,,,,,,,,,,,
7a26311d-8b44-4e46-8394-648dd973f574,Wine bar,,,,,,,,,,,,,,,,,,,
7a2f2062-ba1c-4d26-94db-a019a562211d,Various events,,,,,,,,,,,,,,,,,,,
7a6c2b0c-ae9c-4812-a776-cbadb8750566,Famous Christmas decorations,,,,,,,,,,,,,,,,,,,
7ac26e9b-a9c7-44db-ad5c-3a08f45f50ca,Tue 7pm quiz. Roasts in winter.,,,,,,,,,,,,,,,,,,,
7b15a256-3742-43ad-94d9-b41f98266050,Traditional pub,,,,,,,,,,,,,,,,,,,
7b3bfade-28f1-4919-84c3-446c6da70ba6,Mon/Wed: live piano,,,,,,,,,,,,,,,,,,,
7b9c9688-ba56-4cd6-a084-2b90bc07ced4,Hotel bar,,,,,,,,,,,,,,,,,,,
7bd3195f-3656-449e-9e63-38076f59a001,Thur 8pm quiz. Outdoor seating,,,,,,,,,,,,,,,,,,,
7c6bd4e7-a572-45ad-a969-64e0fb4cbb5a,TBC,,,,,,,,,,,,,,,,,,,
7de6ece6-65fa-4d47-a0af-851f3179dc87,Outdoor seating,,,,,,,,,,,,,,,,,,,
7e16cbd6-a99a-47cf-80be-c703c8124708,Cocktail making classes,,,,,,,,,,,,,,,,,,,
7e4125a6-b943-4bc7-a8dd-dc3a3127c2b6,Live music,,,,,,,,,,,,,,,,,,,
7eb2bc28-8b0c-4409-be4a-13cd97394d9b,Table football,,,,,,,,,,,,,,,,,,,
7ed3290f-bf8c-4f62-af6e-0e17a7cfa872,0,,,,,,,,,,,,,,,,,,,
7edc3e66-7f68-4a09-a085-5bf2b778831c,Tuesday 7pm quiz. Sat/Sun dinner DJs,,,,,,,,,,,,,,,,,,,
7fee2378-ec80-4632-8309-b6dd60094fd8,Mon-Wed: comedy,,,,,,,,,,,,,,,,,,,
80639f64-eda8-42d2-9710-8b3778d23b1c,Speak easy changing bar,,,,,,,,,,,,,,,,,,,
80aeb850-5686-44ac-8e1b-424ef9cea747,Regular live music,,,,,,,,,,,,,,,,,,,
818ffc93-d7ef-4eaa-bfac-81af7b1fb6f4,Dining area,,,,,,,,,,,,,,,,,,,
81a0832a-6b8b-450e-b8ff-0802b702c973,Outdoor seating,,,,,,,,,,,,,,,,,,,
8256f638-00af-4f90-9fdb-aeebbf7986da,Gay bar. Mon-Wed closed,,,,,,,,,,,,,,,,,,,
82cb7b2e-bb83-4c43-951a-e977677112e7,Spacious and airy pub and garden,,,,,,,,,,,,,,,,,,,
83573cce-0fe4-4200-8119-aa22f0657622,Daily live music,,,,,,,,,,,,,,,,,,,
83aeeb5f-1bfd-4372-b4bf-4d43b87c9601,Digital darts. Sat DJs. Wed/Sun 7.30/6pm quiz,,,,,,,,,,,,,,,,,,,
842fc4ff-b773-4eb6-b179-0452a7ccce01,Cricket themed pub,,,,,,,,,,,,,,,,,,,
85734c01-6261-4784-b024-637b12b8d4f4,Classic pub,,,,,,,,,,,,,,,,,,,
859eb4d9-ba6e-43d6-b14b-275cf2a0b5ad,Taproom with live music but closed Mon,,,,,,,,,,,,,,,,,,,
85c71873-b209-4b30-a592-5054413b6d84,Taproom Wed-Sat only,,,,,,,,,,,,,,,,,,,
85f36fdf-63f5-4b98-ad76-21b2ba5ef8dd,Fri DJs. Sat live music. Sun 7.30pm quiz,,,,,,,,,,,,,,,,,,,
861aa935-2abd-4e2f-8ae9-a66b046e75c9,Unique garden,,,,,,,,,,,,,,,,,,,
863b8b33-da71-4a22-a68f-4a676e39cfbe,Jazz 8pm Sun. 1st Thur quiz. Fri/Sat disco. Board games,,,,,,,,,,,,,,,,,,,
8667fb3f-bfb6-4985-b33a-dbb9a5137a47,Garden cabanas with live music,,,,,,,,,,,,,,,,,,,
8668ecb9-4abf-444b-9de0-2e935e2c6966,Classic pub,,,,,,,,,,,,,,,,,,,
866ef4d9-669f-4bab-ade2-1af9da1a0065,Unique decor,,,,,,,,,,,,,,,,,,,
86812052-266b-460c-92ff-f04233f4e8ae,Wed piano man. Thur jazz nights,,,,,,,,,,,,,,,,,,,
868b221f-aea2-4448-b3e9-1c3e44fff92e,Outdoor seating,,,,,,,,,,,,,,,,,,,
86de190a-4e39-4e2c-add6-2ffa05d0f991,Mon 7.30pm music,,,,,,,,,,,,,,,,,,,
86de5080-7da2-4cd1-aac3-d91cf018b910,Classic pub,,,,,,,,,,,,,,,,,,,
87582c9a-a4ff-4f8a-9c1f-1057c51a24ee,Sat wine pairings,,,,,,,,,,,,,,,,,,,
875e7d63-8578-4d2e-bffd-3988b3cd2a74,Regular entertainment,,,,,,,,,,,,,,,,,,,
87953131-c0eb-4469-993e-1ae074e9d99a,Food and drink experience,,,,,,,,,,,,,,,,,,,
882c60eb-2ae9-4c38-915f-92fa3394951e,Mon-Wed closed,,,,,,,,,,,,,,,,,,,
882c968d-b5a1-4877-8e4f-4845ffb59ee7,Beer mile,,,,,,,,,,,,,,,,,,,
88849456-c4ff-4c5a-8ba2-13e503983bcc,Balcony seating but closed Mon,,,,,,,,,,,,,,,,,,,
88b8f8e1-ab4c-4659-8c59-79fb38e29086,Themed cocktail event,,,,,,,,,,,,,,,,,,,
88ee974d-df96-4ffb-ac86-fffc13f1fc7f,Impressive decor in this Weatherspoon ,,,,,,,,,,,,,,,,,,,
88f4d7ea-101e-4faf-93ab-94215455a220,Tiki bar with Thai food. Thur/Sun live music. Classes,,,,,,,,,,,,,,,,,,,
8905f38f-5abe-4ff7-9b22-72ab50645c21,Belgian bar with beer tasting evenings,,,,,,,,,,,,,,,,,,,
894b94e5-4b69-4495-adb6-6d356f2a15ce,Tue 7pm quiz. Outdoor seating,,,,,,,,,,,,,,,,,,,
89509f12-75e8-4b62-8b7a-f709776ddd2c,Classic pub,,,,,,,,,,,,,,,,,,,
8963e59d-8ccb-4992-9834-7904450120e6,"Mon, Thur-Sat live music",,,,,,,,,,,,,,,,,,,
8a9a733c-f36b-49e9-8da7-aeb884293d92,Various events,,,,,,,,,,,,,,,,,,,
8af6ff33-381c-4847-9fb2-cbf949fdb090,Traditional pub,,,,,,,,,,,,,,,,,,,
8bc03630-ea34-4c77-8f1c-cfa15e9a916a,Bi-Tue 8pm quiz,,,,,,,,,,,,,,,,,,,
8cd0994d-4c08-473a-bf11-94b08d3082c6,Floating boat bar with live music,,,,,,,,,,,,,,,,,,,
8d1dc503-5c43-4954-9fb7-7770ad12b729,Modern pub,,,,,,,,,,,,,,,,,,,
8d4e6681-dff8-4b38-955a-44fb6e2431cc,"Thur quiz night. Thur karaoke. Mon, Wed, Sat/Sun live music",,,,,,,,,,,,,,,,,,,
8d85b0e1-fe2f-4aa9-b6cb-6c07e1531653,Irish live music and pizza,,,,,,,,,,,,,,,,,,,
8da7696d-930f-44cc-ba38-783b7ad1c1df,Rooftop bar,,,,,,,,,,,,,,,,,,,
8dacb7e7-7977-4420-9a7d-58eda84741eb,Sports bar,,,,,,,,,,,,,,,,,,,
8de30c31-9684-405e-ac4f-b8a3db376852,Outside seating,,,,,,,,,,,,,,,,,,,
8e99b0f2-e61c-4fd6-9e01-f53da76b5f81,Modern pub,,,,,,,,,,,,,,,,,,,
8f54c7a5-ef71-44e0-9164-d8207652160d,"Tues 7pm quiz, Open mic Wed 6.30pm",,,,,,,,,,,,,,,,,,,
90833296-6041-48c9-9837-fe090ff67fde,Weatherspoons,,,,,,,,,,,,,,,,,,,
915508e0-ea3d-4082-9142-7b178298dded,Outside seating. Thurs pub quiz or karaoke,,,,,,,,,,,,,,,,,,,
915d00c0-49dc-4036-ac5c-92153e281064,Arcade games. Mon karaoke. Tue quiz. Wed comedy. Sun live jazz,,,,,,,,,,,,,,,,,,,
91c14f5b-6666-4230-949d-7502c01c4c96,Craft ale and sourdough pizza,,,,,,,,,,,,,,,,,,,
9231995a-345b-46a6-86e7-37642cf70e97,Mon 7pm quiz. Karaoke and outdoor seating,,,,,,,,,,,,,,,,,,,
92c49a14-f650-4acc-a74f-b6fb96760631,TBC,,,,,,,,,,,,,,,,,,,
9321fedb-a70a-42a3-a59f-1ba4ca6621d6,Bi-weekly Wed quiz. Shuffleboard with outdoor seating,,,,,,,,,,,,,,,,,,,
938453ab-ad1f-4e95-9b52-7ee678665e4d,Wed 9pm quiz. Thur karaoke,,,,,,,,,,,,,,,,,,,
93c74508-cfb4-4b02-ae5d-10bb3cf304f1,Members club,,,,,,,,,,,,,,,,,,,
93ca1ef7-254a-40f8-b767-aab9beefbfc3,Thur: opening mic. Fri-Sun live music,,,,,,,,,,,,,,,,,,,
942ba769-e41f-49e9-9fee-0198fe3391c4,Traditional pub,,,,,,,,,,,,,,,,,,,
9430e071-be89-43fc-8198-1078c99be6a0,City bar,,,,,,,,,,,,,,,,,,,
945c6336-6711-42b2-a240-01b1b9f403c6,Fri: karaoke,,,,,,,,,,,,,,,,,,,
94788b05-bb7f-4428-9b59-93e2d3ce7183,Mon 8pm quiz. Fri music,,,,,,,,,,,,,,,,,,,
94d24fde-0b24-4bec-a05d-3c8ca530db55,,,quiz,,comedy,,,,,,thursday,,,,,,,tuesday,,
955ae281-5169-495d-ac79-8900c326b1a0,Pub with views across common,,,,,,,,,,,,,,,,,,,
958da49d-7a63-4448-9f18-f0845c715278,Outdoor seating,,,,,,,,,,,,,,,,,,,
9599e4f0-ade0-4f0f-9474-79522540b795,Riverside pub. Tue 7.30pm quiz,,,,,,,,,,,,,,,,,,,
95ad4247-ce4d-49ed-bc46-c02cba8f72e4,Electronic darts,,,,,,,,,,,,,,,,,,,
9665dbf0-9144-4a8a-a079-8d2411e5b6e0,Mon board games. Fri/Sat DJs,,,,,,,,,,,,,,,,,,,
96ffc2fb-55cd-4c1b-a52c-707767216645,"Tue: beer pong, Sat/Sun/Mon: Closed, Outside seating",,,,,,,,,,,,,,,,,,,
97035489-ff93-47f1-9703-b0081ae357e9,Closed weekends,,,,,,,,,,,,,,,,,,,
975140ad-4162-4d88-9951-a5d17284eb9a,"Quiz, bingo and music",,,,,,,,,,,,,,,,,,,
97a112a9-31a7-4be6-bae9-0b828715e042,Canal side bar with Wed 7.30pm quiz,,,,,,,,,,,,,,,,,,,
97c261d5-5d57-4287-abfd-d200009c1371,Cocktail bar,,,,,,,,,,,,,,,,,,,
97db9cac-552f-4b75-a212-3f93f8345106,Great decor,,,,,,,,,,,,,,,,,,,
97f2905d-f074-44a7-a26e-011599793af5,Cocktail bar closed Mon/Tue,,,,,,,,,,,,,,,,,,,
984c1545-c22b-490a-93d9-8873b3a08adf,LGBTQ+ friendly venue,,,,,,,,,,,,,,,,,,,
9882b155-3cbe-4a55-81bf-67a9496e6173,Traditional pub,,,,,,,,,,,,,,,,,,,
99158172-b45e-4f12-ba5b-44a99db9a74f,Modern pub closed Mon,,,,,,,,,,,,,,,,,,,
991d5e48-971c-464e-997a-a0772b47a4e5,Weekday only,,,,,,,,,,,,,,,,,,,
99261dfa-fd36-4e85-b640-86efcd35aa8a,Modern pub,,,,,,,,,,,,,,,,,,,
9963cb33-f78e-4f21-a240-9542d9e8fbf8,Traditional pub,,,,,,,,,,,,,,,,,,,
